Model,series,PP,TP,ttft_s,tput,alpha,N_L,N_T,n_instances,lambda_tok_s
Llama2-70B,dda,,9,2.143,1010.9,0.22,9.0,23.0,1.0,117.7
Llama2-70B,dda,,9,2.143,1010.9,0.23,9.0,23.0,1.0,117.7
Llama2-70B,dda,,9,2.143,1010.9,0.24,9.0,23.0,1.0,117.7
Llama2-70B,dda,,9,2.143,1010.9,0.25,9.0,23.0,1.0,117.7
Llama2-70B,dda,,9,2.143,1010.9,0.26,9.0,23.0,1.0,117.7
Llama2-70B,dda,,9,2.143,1010.9,0.27,9.0,23.0,1.0,117.7
Llama2-70B,dda,,9,2.143,1010.9,0.28,9.0,23.0,1.0,117.7
Llama2-70B,dda,,9,2.143,1010.9,0.29,9.0,23.0,1.0,117.7
Llama2-70B,dda,,9,2.143,1010.9,0.3,9.0,23.0,1.0,117.7
Llama2-70B,dda,,9,2.143,1010.9,0.31,9.0,23.0,1.0,117.7
Llama2-70B,dda,,9,2.143,1010.9,0.32,9.0,23.0,1.0,117.7
Llama2-70B,dda,,9,2.143,1010.9,0.33,9.0,23.0,1.0,117.7
Llama2-70B,dda,,9,2.143,1010.9,0.34,9.0,23.0,1.0,117.7
Llama2-70B,dda,,9,2.143,1010.9,0.35,9.0,23.0,1.0,117.7
Llama2-70B,dda,,9,2.143,1010.9,0.36,9.0,23.0,1.0,117.7
Llama2-70B,dda,,9,2.143,1010.9,0.37,9.0,23.0,1.0,117.7
Llama2-70B,dda,,9,2.143,1010.9,0.38,9.0,23.0,1.0,117.7
Llama2-70B,dda,,9,2.143,1010.9,0.39,9.0,23.0,1.0,117.7
Llama2-70B,dda,,9,2.143,1010.9,0.4,9.0,23.0,1.0,117.7
Llama2-70B,dda,,9,2.143,1010.9,0.41,9.0,23.0,1.0,117.7
Llama2-70B,dda,,9,2.143,1010.9,0.42,9.0,23.0,1.0,117.7
Llama2-70B,dda,,9,2.143,1010.9,0.43,9.0,23.0,1.0,117.7
Llama2-70B,dda,,9,2.143,1010.9,0.44,9.0,23.0,1.0,117.7
Llama2-70B,dda,,9,2.143,1010.9,0.45,9.0,23.0,1.0,117.7
Llama2-70B,dda,,9,2.143,1010.9,0.46,9.0,23.0,1.0,117.7
Llama2-70B,dda,,9,2.143,1010.9,0.47,9.0,23.0,1.0,117.7
Llama2-70B,dda,,9,2.143,1010.9,0.48,9.0,23.0,1.0,117.7
Llama2-70B,dda,,9,2.143,1010.9,0.49,9.0,23.0,1.0,117.7
Llama2-70B,dda,,9,2.143,1010.9,0.5,9.0,23.0,1.0,117.7
Llama2-70B,dda,,9,2.143,1010.9,0.51,9.0,23.0,1.0,117.7
Llama2-70B,dda,,9,2.143,1010.9,0.52,9.0,23.0,1.0,117.7
Llama2-70B,dda,,9,2.143,1010.9,0.53,9.0,23.0,1.0,117.7
Llama2-70B,dda,,9,2.143,1010.9,0.54,9.0,23.0,1.0,117.7
Llama2-70B,dda,,9,2.143,1010.9,0.55,9.0,23.0,1.0,117.7
Llama2-70B,dda,,10,2.096,1010.9,0.56,10.0,22.0,1.0,117.7
Llama2-70B,dda,,10,2.096,1010.9,0.57,10.0,22.0,1.0,117.7
Llama2-70B,dda,,10,2.096,1010.9,0.58,10.0,22.0,1.0,117.7
Llama2-70B,dda,,10,2.096,1010.9,0.59,10.0,22.0,1.0,117.7
Llama2-70B,dda,,10,2.096,1010.9,0.6,10.0,22.0,1.0,117.7
Llama2-70B,dda,,10,2.096,1010.9,0.61,10.0,22.0,1.0,117.7
Llama2-70B,dda,,10,2.096,1010.9,0.62,10.0,22.0,1.0,117.7
Llama2-70B,dda,,10,2.096,1010.9,0.63,10.0,22.0,1.0,117.7
Llama2-70B,dda,,10,2.096,1010.9,0.64,10.0,22.0,1.0,117.7
Llama2-70B,dda,,10,2.096,1010.9,0.65,10.0,22.0,1.0,117.7
Llama2-70B,dda,,10,2.096,1010.9,0.66,10.0,22.0,1.0,117.7
Llama2-70B,dda,,10,2.096,1010.9,0.67,10.0,22.0,1.0,117.7
Llama2-70B,dda,,10,2.096,1010.9,0.68,10.0,22.0,1.0,117.7
Llama2-70B,dda,,10,2.096,1010.9,0.69,10.0,22.0,1.0,117.7
Llama2-70B,dda,,10,2.096,1010.9,0.7,10.0,22.0,1.0,117.7
Llama2-70B,dda,,10,2.096,1010.9,0.71,10.0,22.0,1.0,117.7
Llama2-70B,dda,,10,2.096,1010.9,0.72,10.0,22.0,1.0,117.7
Llama2-70B,dda,,10,2.096,1010.9,0.73,10.0,22.0,1.0,117.7
Llama2-70B,dda,,10,2.096,1010.9,0.74,10.0,22.0,1.0,117.7
Llama2-70B,dda,,10,2.096,1010.9,0.75,10.0,22.0,1.0,117.7
Llama2-70B,dda,,10,2.096,1010.9,0.76,10.0,22.0,1.0,117.7
Llama2-70B,dda,,10,2.096,1010.9,0.77,10.0,22.0,1.0,117.7
Llama2-70B,dda,,10,2.096,1010.9,0.78,10.0,22.0,1.0,117.7
Llama2-70B,dda,,12,2.063,1010.9,0.79,12.0,20.0,1.0,117.7
Llama2-70B,dda,,12,2.063,1010.9,0.8,12.0,20.0,1.0,117.7
Llama2-70B,dda,,16,1.891,756.2,0.81,16.0,16.0,1.0,117.7
Llama2-70B,dda,,16,1.891,756.2,0.82,16.0,16.0,1.0,117.7
Llama2-70B,dda,,16,1.891,756.2,0.83,16.0,16.0,1.0,117.7
Llama2-70B,dda,,16,1.891,756.2,0.84,16.0,16.0,1.0,117.7
Llama2-70B,dda,,16,1.891,756.2,0.85,16.0,16.0,1.0,117.7
Llama2-70B,dda,,16,1.891,756.2,0.86,16.0,16.0,1.0,117.7
Llama2-70B,dda,,16,1.891,756.2,0.87,16.0,16.0,1.0,117.7
Llama2-70B,dda,,16,1.891,756.2,0.88,16.0,16.0,1.0,117.7
Llama2-70B,dda,,16,1.891,756.2,0.89,16.0,16.0,1.0,117.7
Llama2-70B,dda,,16,1.891,756.2,0.9,16.0,16.0,1.0,117.7
Llama2-70B,dda,,16,1.891,756.2,0.91,16.0,16.0,1.0,117.7
Llama2-70B,dda,,16,1.891,756.2,0.92,16.0,16.0,1.0,117.7
Llama2-70B,dda,,16,1.891,756.2,0.93,16.0,16.0,1.0,117.7
Llama2-70B,dda,,16,1.891,756.2,0.94,16.0,16.0,1.0,117.7
Llama2-70B,dda,,16,1.891,756.2,0.95,16.0,16.0,1.0,117.7
Llama2-70B,dda,,16,1.891,756.2,0.96,16.0,16.0,1.0,117.7
Llama2-70B,dda,,16,1.891,756.2,0.97,16.0,16.0,1.0,117.7
Llama2-70B,dda,,16,1.891,756.2,0.98,16.0,16.0,1.0,117.7
