Model,alpha,N_L,N_T,lambda_max,Tput_L,Tput_T,TTFT_short_s,bottleneck
Llama2-13B,0.66,18,14,555.8,366.8,2663.6,0.959,PoolL
Llama2-13B,0.67,18,14,547.5,366.8,2663.6,0.959,PoolL
Llama2-13B,0.68,18,14,539.5,366.8,2663.6,0.959,PoolL
Llama2-13B,0.69,18,14,531.7,366.8,2663.6,0.959,PoolL
Llama2-13B,0.7,18,14,524.1,366.8,2663.6,0.959,PoolL
Llama2-13B,0.71,18,14,516.7,366.8,2663.6,0.959,PoolL
Llama2-13B,0.72,18,14,509.5,366.8,2663.6,0.959,PoolL
Llama2-13B,0.73,18,14,502.5,366.8,2663.6,0.959,PoolL
Llama2-13B,0.74,18,14,495.7,366.8,2663.6,0.959,PoolL
Llama2-13B,0.75,18,14,489.1,366.8,2663.6,0.959,PoolL
Llama2-13B,0.76,18,14,482.7,366.8,2663.6,0.959,PoolL
Llama2-13B,0.77,18,14,476.4,366.8,2663.6,0.959,PoolL
Llama2-13B,0.78,18,14,470.3,366.8,2663.6,0.959,PoolL
Llama2-13B,0.79,18,14,464.4,366.8,2663.6,0.959,PoolL
Llama2-13B,0.8,18,14,458.6,366.8,2663.6,0.959,PoolL
Llama2-13B,0.81,18,14,452.9,366.8,2663.6,0.959,PoolL
Llama2-13B,0.82,18,14,447.4,366.8,2663.6,0.959,PoolL
Llama2-13B,0.83,18,14,442.0,366.8,2663.6,0.959,PoolL
Llama2-13B,0.84,18,14,436.7,366.8,2663.6,0.959,PoolL
Llama2-13B,0.85,18,14,431.6,366.8,2663.6,0.959,PoolL
Llama2-13B,0.86,18,14,426.6,366.8,2663.6,0.959,PoolL
Llama2-13B,0.87,18,14,421.7,366.8,2663.6,0.959,PoolL
Llama2-13B,0.88,18,14,416.9,366.8,2663.6,0.959,PoolL
Llama2-13B,0.89,18,14,412.2,366.8,2663.6,0.959,PoolL
Llama2-13B,0.9,18,14,407.6,366.8,2663.6,0.959,PoolL
Llama2-13B,0.91,18,14,403.1,366.8,2663.6,0.959,PoolL
Llama2-13B,0.92,18,14,398.7,366.8,2663.6,0.959,PoolL
Llama2-13B,0.93,18,14,394.5,366.8,2663.6,0.959,PoolL
Llama2-13B,0.94,18,14,390.3,366.8,2663.6,0.959,PoolL
Llama2-13B,0.95,18,14,386.1,366.8,2663.6,0.959,PoolL
Llama2-13B,0.96,18,14,382.1,366.8,2663.6,0.959,PoolL
Llama2-13B,0.97,18,14,378.2,366.8,2663.6,0.959,PoolL
Llama2-13B,0.98,18,14,374.3,366.8,2663.6,0.959,PoolL
Llama2-70B,0.02,2,30,1209.3,62.7,1185.1,6.205,PoolT
Llama2-70B,0.03,2,30,1221.8,62.7,1185.1,6.205,PoolT
Llama2-70B,0.04,2,30,1234.5,62.7,1185.1,6.205,PoolT
Llama2-70B,0.05,2,30,1247.5,62.7,1185.1,6.205,PoolT
Llama2-70B,0.06,4,28,1260.8,83.0,1185.1,4.383,PoolT
Llama2-70B,0.07,4,28,1185.8,83.0,1185.1,4.383,PoolL
Llama2-70B,0.08,6,26,1038.9,90.8,955.8,3.905,PoolT
Llama2-70B,0.09,8,24,1050.3,99.1,955.8,3.479,PoolT
Llama2-70B,0.1,12,20,1015.8,101.6,955.8,3.363,PoolL
Llama2-70B,0.11,12,20,923.5,101.6,955.8,3.363,PoolL
Llama2-70B,0.12,12,20,846.5,101.6,955.8,3.363,PoolL
Llama2-70B,0.13,16,16,822.0,108.0,715.1,3.087,PoolT
Llama2-70B,0.14,16,16,771.2,108.0,715.1,3.087,PoolL
Llama2-70B,0.15,16,16,719.7,108.0,715.1,3.087,PoolL
Llama2-70B,0.16,16,16,674.8,108.0,715.1,3.087,PoolL
Llama2-70B,0.17,16,16,635.1,108.0,715.1,3.087,PoolL
Llama2-70B,0.18,16,16,599.8,108.0,715.1,3.087,PoolL
Llama2-70B,0.19,16,16,568.2,108.0,715.1,3.087,PoolL
Llama2-70B,0.2,16,16,539.8,108.0,715.1,3.087,PoolL
Llama2-70B,0.21,16,16,514.1,108.0,715.1,3.087,PoolL
Llama2-70B,0.22,16,16,490.7,108.0,715.1,3.087,PoolL
Llama2-70B,0.23,16,16,469.4,108.0,715.1,3.087,PoolL
Llama2-70B,0.24,16,16,449.8,108.0,715.1,3.087,PoolL
Llama2-70B,0.25,16,16,431.8,108.0,715.1,3.087,PoolL
Llama2-70B,0.26,16,16,415.2,108.0,715.1,3.087,PoolL
Llama2-70B,0.27,16,16,399.9,108.0,715.1,3.087,PoolL
Llama2-70B,0.28,16,16,385.6,108.0,715.1,3.087,PoolL
Llama2-70B,0.29,16,16,372.3,108.0,715.1,3.087,PoolL
Llama2-70B,0.3,16,16,359.9,108.0,715.1,3.087,PoolL
Llama2-70B,0.31,16,16,348.3,108.0,715.1,3.087,PoolL
Llama2-70B,0.32,16,16,337.4,108.0,715.1,3.087,PoolL
Llama2-70B,0.33,16,16,327.2,108.0,715.1,3.087,PoolL
Llama2-70B,0.34,16,16,317.5,108.0,715.1,3.087,PoolL
Llama2-70B,0.35,16,16,308.5,108.0,715.1,3.087,PoolL
Llama2-70B,0.36,16,16,299.9,108.0,715.1,3.087,PoolL
