Model,Device number,Seqlen,Pipeline parallelism,Tensor parallelism,Phase,Total Latency (s),Throughput (tokens/s),Energy per Token (mJ),Total power (W)
Llama2-13B,20,1920,10,2,prefill,6.270187531763392,3098.4999406851693,139.37156237961543,560.5565351892675
Llama2-13B,20,1920,20,1,prefill,9.062269874508932,4269.416852679921,133.35631603478126,669.9523702119156
Llama2-13B,20,1920,40,1,prefill,16.232607597544646,4773.38669689621,128.05518693656583,677.572611049169
Llama2-13B,20,2048,1,20,prefill,4.326164219071428,485.623101507853,328.6102793159268,261.9017835828497
Llama2-13B,20,2048,2,10,prefill,4.4047938305,953.022419648884,188.61164406139105,289.00844871924784
Llama2-13B,20,2048,4,5,prefill,4.9825177141428565,1675.809382124432,159.857204688707,396.6928513972644
Llama2-13B,20,2048,5,4,prefill,5.397462454571428,1928.1682288259667,163.0042129297148,448.0859150366799
Llama2-13B,20,2048,10,2,prefill,6.766447287214286,3066.049593362157,139.71019832441067,556.2805401776251
Llama2-13B,20,2048,20,1,prefill,9.75701106614286,4232.87988784471,133.82264043890854,666.9638839589618
Llama2-13B,20,2048,40,1,prefill,17.496747602714283,4728.18654699428,128.49496125805155,674.2316039249783
Llama2-13B,20,2176,1,20,prefill,4.679841642763393,478.3459606318768,328.96493124278845,257.6895527005065
Llama2-13B,20,2176,2,10,prefill,4.76338560490625,938.956613506672,188.9612281445737,284.68098941366446
Llama2-13B,20,2176,4,5,prefill,5.377217231276785,1653.5376140271726,160.20425485005018,391.88978012728086
Llama2-13B,20,2176,5,4,prefill,5.829667217982141,1901.8512511113968,163.45730663135578,442.662351381107
Llama2-13B,20,2176,10,2,prefill,7.289999202665179,3029.5077778635205,140.2155536196487,551.4000908752001
Llama2-13B,20,2176,20,1,prefill,10.479044417776787,4192.448282120216,134.44060240010216,663.7191248973958
Llama2-13B,20,2176,40,1,prefill,18.799198007883927,4681.296267323363,129.01234884386508,670.812601142983
Llama2-13B,20,2304,1,20,prefill,5.042069466455358,471.4027832951334,329.3072516918411,253.69772584832
Llama2-13B,20,2304,2,10,prefill,5.130527779312501,925.529999492108,189.2984807499473,280.57330326629005
Llama2-13B,20,2304,4,5,prefill,5.780467148410714,1632.2124176859552,160.5389735335843,387.304393462927
Llama2-13B,20,2304,5,4,prefill,6.270422381392856,1876.862477370294,163.88622993022486,437.5324214298912
Llama2-13B,20,2304,10,2,prefill,7.822101518116073,2994.8435899978704,140.6908190496334,546.773242014695
Llama2-13B,20,2304,20,1,prefill,11.209628169410715,4154.203781414992,135.01590633489542,660.6243890137514
Llama2-13B,20,2304,40,1,prefill,20.11839849305357,4636.843066778268,129.49411782866713,667.5403487688475
Llama2-13B,20,2432,1,20,prefill,5.4126556901473215,464.7709894515389,329.63916690855444,249.9106278116256
Llama2-13B,20,2432,2,10,prefill,5.50602835371875,912.69982128557,189.62532812298173,276.67095345129235
Llama2-13B,20,2432,4,5,prefill,6.192075465544643,1611.7749749962202,160.8632869847792,382.92544837402494
Llama2-13B,20,2432,5,4,prefill,6.71953594480357,1853.081785361121,164.29477837573333,432.6712150471933
Llama2-13B,20,2432,10,2,prefill,8.362562233566965,2961.8702299665333,141.1407248157468,542.3788383950637
Llama2-13B,20,2432,20,1,prefill,11.948570321044643,4117.898946723974,135.53177861206464,657.5718034394062
Llama2-13B,20,2432,40,1,prefill,21.46572057822321,4592.805573061742,129.99354761319492,664.2939241337357
Llama2-13B,20,2560,1,20,prefill,5.791766713839286,458.4140382444878,329.962255176722,246.30082568522823
Llama2-13B,20,2560,2,10,prefill,5.890053728125,900.3959610607324,189.9433485474703,272.94601608472897
Llama2-13B,20,2560,4,5,prefill,6.612208582678571,1592.1192947334605,161.17877348742823,378.7234848516407
Llama2-13B,20,2560,5,4,prefill,7.177174308214284,1830.3519038485265,164.68602569482783,428.0385437274013
Llama2-13B,20,2560,10,2,prefill,8.911547749017858,2930.3553862085305,141.5690923665122,538.1793559651779
Llama2-13B,20,2560,20,1,prefill,12.696037272678572,4083.24902864318,136.04177920949093,654.7359257491586
Llama2-13B,20,2560,40,1,prefill,22.82979274339285,4550.83864962895,130.4627164369409,661.1730706419273
Llama2-13B,20,2688,1,20,prefill,6.179645737531249,452.2990744887833,330.2778029606504,242.8437251128856
Llama2-13B,20,2688,2,10,prefill,6.28284710253125,888.5553035922627,190.25382848771963,269.373259390944
Llama2-13B,20,2688,4,5,prefill,7.052680899812501,1571.655928311953,161.57297453056745,374.28426309544415
Llama2-13B,20,2688,5,4,prefill,7.643580671624998,1808.534859436539,165.06246894865325,423.5985443135393
Llama2-13B,20,2688,10,2,prefill,9.46930126446875,2900.0965841049874,141.9790240614936,534.1409099325616
Llama2-13B,20,2688,20,1,prefill,13.463843424312502,4047.578832112853,136.61177613481223,651.8201438387597
Llama2-13B,20,2688,40,1,prefill,24.22198650856249,4509.2581898395165,130.94906409482505,658.0780809683297
Llama2-13B,20,2816,1,20,prefill,6.576075161223214,446.4164887726316,330.58681627572884,239.5336622895992
Llama2-13B,20,2816,2,10,prefill,6.6841908769375005,877.1599334146566,190.55777395911912,265.94813935268934
Llama2-13B,20,2816,4,5,prefill,7.501703616946428,1552.0467548843903,161.95279973897237,370.0437524391736
Llama2-13B,20,2816,5,4,prefill,8.118537435035712,1787.5783238083902,165.42610464092127,419.3430262404648
Llama2-13B,20,2816,10,2,prefill,10.035605179919644,2871.013577542728,142.37301164856376,530.2581115478695
Llama2-13B,20,2816,20,1,prefill,14.240199975946432,4013.482247862418,137.1512314963398,649.0138321942135
Llama2-13B,20,2816,40,1,prefill,25.630930353732147,4469.47043814931,131.40909107260242,655.0924807438528
Llama2-13B,20,2944,1,20,prefill,6.980862984915179,440.7555564471284,330.89013023661187,236.3638802853393
Llama2-13B,20,2944,2,10,prefill,7.093893051343751,866.1896812274812,190.85602007632312,262.6646855250287
Llama2-13B,20,2944,4,5,prefill,7.959084734080356,1533.2367467200013,162.32010701415172,365.99045961824737
Llama2-13B,20,2944,5,4,prefill,8.601852598446428,1767.430905866638,165.77858611576977,415.2628958524048
Llama2-13B,20,2944,10,2,prefill,10.610267495370538,2843.030163539546,142.75311758660243,526.5244548717478
Llama2-13B,20,2944,20,1,prefill,15.024914927580362,3980.823502782427,137.6447084079402,646.2363552419775
Llama2-13B,20,2944,40,1,prefill,27.06799579890179,4430.050687196875,131.8855980159815,652.1329064881055
Llama2-13B,20,3072,1,20,prefill,7.394175608607142,435.2946139368626,331.1884718450259,233.3184949352964
Llama2-13B,20,3072,2,10,prefill,7.512120025750001,855.6029368533542,191.14929384105804,259.5065445295517
Llama2-13B,20,3072,4,5,prefill,8.424990651214284,1515.1408120739425,162.67647568021084,362.1011240130079
Llama2-13B,20,3072,5,4,prefill,9.093692561857145,1748.0061294208645,166.12132223282828,411.3358013541754
Llama2-13B,20,3072,10,2,prefill,11.193454610821426,2816.0220679815825,143.12109166419057,522.9189615074005
Llama2-13B,20,3072,20,1,prefill,15.818154679214286,3949.4255004017687,138.1351585335522,643.6267765871704
