Model,Device number,Seqlen,Pipeline parallelism,Tensor parallelism,Phase,Total Latency (s),Throughput (tokens/s),Energy per Token (mJ),Total power (W)
Llama2-70B,32,2048,80,1,decoding,111.5146536763125,1289.793787928087,672.349423950217,912.9317273754742
Llama2-70B,32,2048,80,1,end2end,125.6564182815,1309.605465087514,669.5631011330318,919.8780206022668
Llama2-70B,32,2048,80,1,prefill,14.1417646051875,1448.2872052035043,650.0588414127344,968.5020731898152
Llama2-70B,32,4096,1,32,decoding,37.02954112200001,102.40034837134058,1838.9895016098849,295.23752170655706
Llama2-70B,32,4096,1,32,end2end,39.98553380800001,111.29844523361437,1831.228741722672,326.2911381217756
Llama2-70B,32,4096,1,32,prefill,2.9559926860000005,173.5851232695308,1776.9034225121852,543.6664530283056
Llama2-70B,32,4096,2,16,decoding,37.94447999650001,199.2842707706744,1156.880348630635,351.9858277944101
Llama2-70B,32,4096,2,16,end2end,41.03117823600001,215.9248935150034,1149.2233781819682,384.6984359997937
Llama2-70B,32,4096,2,16,prefill,3.0866982395,332.4092527253069,1095.6245850413038,613.6866934374787
Llama2-70B,32,4096,4,8,decoding,40.68784633375001,368.9407399155388,900.048099497593,479.69537842609896
Llama2-70B,32,4096,4,8,end2end,44.16645405,396.53156885437943,892.4430237681995,514.43075090193
Llama2-70B,32,4096,4,8,prefill,3.4786077162499995,589.6673714262649,839.2074936624466,757.5783582327466
Llama2-70B,32,4096,8,4,decoding,47.56378595575,625.2988994444388,798.7044587772754,666.3717115008407
Llama2-70B,32,4096,8,4,end2end,51.947244657999995,664.0548834830627,790.7724293178353,699.7708990798185
Llama2-70B,32,4096,8,4,prefill,4.38345870225,935.3467717534292,735.2482231017547,933.5652121326636
Llama2-70B,32,4096,16,2,decoding,61.396463561625,957.0386241251242,752.5283890818746,876.5780800708073
Llama2-70B,32,4096,16,2,end2end,67.60116685899999,1002.5263557150612,743.9035311228861,902.9367790099791
Llama2-70B,32,4096,16,2,prefill,6.204703297375,1320.9404768446211,683.5295254099666,1087.4476715841795
Llama2-70B,32,4096,32,1,decoding,89.7163195114375,1295.7507846070814,743.6477817509459,1076.2600150229084
Llama2-70B,32,4096,32,1,end2end,99.6570121045,1339.8434021267963,733.6178024626881,1091.3756323430184
Llama2-70B,32,4096,32,1,prefill,9.9406925930625,1648.4917247648011,663.4079474448821,1197.1849535837891
Llama2-70B,32,4096,80,1,decoding,251.828570072625,1150.7837076321946,698.6650206127755,861.901752583774
Llama2-70B,32,4096,80,1,end2end,280.56930504300004,1185.1364872703944,692.9529355925071,874.2560501858256
Llama2-70B,32,4096,80,1,prefill,28.740734970374994,1425.6059447377925,652.9683404506279,960.7361334001864
Llama2-7B,8,512,1,8,decoding,0.4084259171875,941.1499185052048,95.40842228708448,144.24146349042726
Llama2-7B,8,512,1,8,end2end,0.5339428655833333,960.8080889203944,95.28863357490064,147.2587329347371
Llama2-7B,8,512,1,8,prefill,0.1255169483958333,1019.7826001659638,94.92926743834911,156.31054126766662
Llama2-7B,8,512,2,4,decoding,0.4821217686249999,1594.119141993883,80.68281988958158,189.2020168259037
Llama2-7B,8,512,2,4,end2end,0.6322040008333333,1622.0222463738078,80.56432854537957,192.1224443670569
Llama2-7B,8,512,2,4,prefill,0.1500822322083333,1705.7315595135824,80.20885451277351,200.88372699051664
Llama2-7B,8,512,4,2,decoding,0.619450551875,2480.7106503616337,70.8832768029384,235.31801621120096
Llama2-7B,8,512,4,2,end2end,0.8153090451666666,2514.066045484409,70.76543414272729,237.6949674453392
Llama2-7B,8,512,4,2,prefill,0.1958584932916666,2614.132230852735,70.41190616209398,244.8258211477537
Llama2-7B,8,512,8,1,decoding,0.907489750375,3385.8577236128203,67.15651538238042,276.37365583120226
Llama2-7B,8,512,8,1,end2end,1.1993613098333331,3416.4914261320523,67.06293671663036,277.9761691254555
Llama2-7B,8,512,8,1,prefill,0.2918715594583333,3508.392533689748,66.78220071938014,282.7837090082154
Llama2-7B,8,512,32,1,decoding,3.0528308904791666,4027.214491347164,62.551750154577576,280.36429207345594
Llama2-7B,8,512,32,1,end2end,4.013555939305555,4086.272533354968,62.29263822135864,282.54468353539767
Llama2-7B,8,512,32,1,prefill,0.9607250488263888,4263.446659378382,61.51530242170184,289.0858579212229
Llama2-7B,8,1024,1,8,decoding,1.0273034387708333,876.7933692745336,95.8875738504926,134.4840697313795
Llama2-7B,8,1024,1,8,end2end,1.152820387166667,894.6670231359624,95.76778554897469,137.21237867341537
Llama2-7B,8,1024,1,8,prefill,0.1255169483958333,1019.7826001659638,94.92926743834911,156.31054126766662
Llama2-7B,8,1024,2,4,decoding,1.1992604254583332,1500.0317470460484,81.15678198106238,179.31464062746082
Llama2-7B,8,1024,2,4,end2end,1.3493426576666665,1525.74422360449,81.03829104752627,182.01077642284275
Llama2-7B,8,1024,2,4,prefill,0.1500822322083333,1705.7315595135824,80.20885451277351,200.88372699051664
Llama2-7B,8,1024,4,2,decoding,1.5196942530416666,2364.033231922859,71.35464415845554,226.8829573595801
Llama2-7B,8,1024,4,2,end2end,1.715552746333333,2395.2956067890937,71.23680190891037,229.1258153331018
Llama2-7B,8,1024,4,2,prefill,0.1958584932916666,2614.132230852735,70.41190616209398,244.8258211477537
Llama2-7B,8,1024,8,1,decoding,2.221407988208333,3233.032019521356,68.30294066920337,269.1841274206635
Llama2-7B,8,1024,8,1,end2end,2.513279547666666,3267.4520837924047,68.11284817547548,270.8840751191075
Llama2-7B,8,1024,8,1,prefill,0.2918715594583333,3508.392533689748,66.78220071938014,282.7837090082154
Llama2-7B,8,1024,32,1,decoding,7.521468813784722,3822.758377566288,63.58819788745331,272.6339458441982
Llama2-7B,8,1024,32,1,end2end,8.482193862611112,3877.844412792799,63.32908595423438,274.69043485382633
Llama2-7B,8,1024,32,1,prefill,0.9607250488263888,4263.446659378382,61.51530242170184,289.0858579212229
